"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"1",1299500,1127400,470900,448900,330600,916400,522100,976000,874100,1918200
"2",1265800,1015900,436500,434400,305200,894300,507800,966900,884000,1844100
"3",1256900,1017500,414100,423300,290000,844100,504200,949900,866200,1845000
"4",1271000,1041600,434900,435000,308700,895500,517100,946500,870900,1860100
"5",1306900,1178200,500300,475500,345500,954000,527000,988000,869000,1933300
"6",1275900,1081800,433600,438500,304600,874000,512800,947100,865800,1849500
"7",1265400,965200,418100,449100,305200,812800,496300,978100,887600,1890100
"8",1289900,1095500,463500,443600,324500,906500,513100,976400,881700,1871400
"9",1251100,1068200,412000,425400,282100,850000,505400,940100,858000,1827500
"10",1266200,965300,418000,449200,305200,815400,496700,977600,889900,1890100
"11",1300000,1172600,503000,471500,338500,951700,519400,987300,867700,1924500
"12",1289800,1075000,451300,444600,320000,918500,519000,976500,890100,1855300
"13",1257900,1022700,413900,423100,289300,844100,505000,951000,866500,1845400
"14",1290800,1098500,465000,442600,324500,907700,512000,977300,881800,1871400
"15",1272500,1044000,435300,436600,309600,896700,518100,948100,871000,1861100
"16",1251300,1070500,424900,429300,294800,870200,510400,960400,869200,1860800
"17",1265100,967500,417500,448300,305700,816600,496300,978500,891100,1892700
"18",1257900,1020100,414500,422400,289300,846000,504700,950800,867600,1848500
"19",1255700,1013000,431600,426300,306500,881400,503800,939100,861800,1839300
"20",1291000,1046800,458700,442500,319700,915100,514600,981300,895600,1873900
"21",1255300,1065100,423600,429000,286800,866800,506800,965400,876600,1889100
"22",1306300,1180500,500400,475700,345000,955500,528500,991000,871700,1932300
"23",1297800,1175000,502700,470000,338300,952000,519400,986000,867200,1925200
"24",1290400,1143800,475200,455300,329200,913900,515400,983500,867800,1928700
"25",1300800,1164300,488100,461900,334500,938100,523500,988700,874400,1945800
"26",1291400,1097400,465100,442300,324100,908900,512400,975900,880600,1869200
"27",1291900,1048700,458200,442500,319600,914900,514600,980800,895500,1870300
"28",1278300,1081900,434800,439500,304000,880000,513600,946300,865700,1849800
"29",1274000,1044800,434400,436600,309100,896600,518000,947100,872200,1858900
"30",1250500,1069200,423900,428300,294800,868000,509900,959900,868100,1862700
"31",1256200,1067900,423300,430600,286800,869600,507200,964700,876100,1887200
"32",1296600,1176400,502900,470400,338100,954800,519700,985700,867300,1925800
"33",1274600,1041900,434400,436500,309400,896500,518200,946700,872200,1856100
"34",1267000,1086100,427900,429700,301100,879000,512600,959900,870600,1873700
"35",1274600,1038500,434600,435800,308300,896100,518400,946300,872200,1857000
"36",1251000,1067000,412500,423700,282300,847600,504100,943300,857400,1823400
"37",1290000,1096800,464300,442000,324200,909200,512800,977000,881300,1869200
"38",1291500,1076300,451800,445700,320000,917500,518700,975700,889000,1858200
"39",1255200,1031100,415800,423800,290600,848800,507100,952800,867700,1844500
"40",1251000,1067200,423500,427600,292800,867700,510400,959100,868500,1866400
"41",1307700,1183300,500300,475400,345800,956200,529400,991200,872200,1928500
"42",1264800,968200,418300,448700,306500,817000,497800,978200,890300,1889000
"43",1295600,1141500,474700,454500,329600,910700,516100,981200,869800,1933800
"44",1290300,1047300,457100,441100,317300,915400,514500,980200,894900,1866100
"45",1251200,1068900,411800,422900,282600,845900,503100,942800,857000,1820400
"46",1291400,1098400,464400,442300,324300,909500,513500,977500,881900,1872100
"47",1255100,1015200,432700,426800,307600,885900,505200,936900,863100,1830400
"48",1300100,1164100,486500,462700,334600,938000,523800,987000,873400,1949000
"49",1253400,1030700,416400,424100,290800,848500,507400,953100,867900,1846900
"50",1255000,1015500,433000,426800,307500,885100,505100,937000,864500,1828800
"51",1274200,1041000,434200,435400,308700,896400,518200,947000,872700,1860700
"52",1265600,1080500,427600,428700,301500,877400,512600,959600,869700,1869400
"53",1255400,1029400,416600,424100,289800,848700,506900,953300,868300,1849200
"54",1276300,1074300,435800,437800,303800,880400,512500,941500,859800,1849900
"55",1259200,1013200,419700,443200,301100,854400,503400,964400,878500,1868000
"56",1274000,1041000,433700,435200,308200,895200,517800,947100,872600,1860900
"57",1296000,1141100,474800,454900,330400,911600,515900,983000,870300,1931100
"58",1300200,1164300,486400,462300,334200,936800,524300,986900,873400,1950700
"59",1290600,1096800,464600,442700,324600,908100,513300,977200,882500,1874800
"60",1256800,1028000,416900,424600,289700,849100,507500,953700,867900,1848200
"61",1290900,1049300,457200,441100,317000,915300,514800,980200,896700,1865200
"62",1277500,1072700,436800,437000,303600,880900,512600,942000,860200,1851200
"63",1250100,1058200,421800,428200,293000,867000,509900,959800,870500,1871200
"64",1295400,1142400,474400,455300,330300,911900,515500,983400,870500,1933100
"65",1265100,966700,418700,449600,306700,821300,497100,980200,890400,1890000
"66",1254900,1019000,433100,426500,307400,886100,504800,937400,866100,1826700
"67",1277000,1072000,437500,437400,303900,880800,512300,942000,860000,1849300
"68",1274200,1036800,433300,434400,307300,894400,518500,947500,874200,1862500
"69",1252200,1067400,413300,423700,283500,849400,504700,943000,857700,1823500
"70",1255300,1076300,422700,429000,289300,868400,506600,962900,875900,1886200
"71",1291000,1095600,464600,442100,324100,906000,513100,976900,882400,1874200
